4,5,5,41,10,4,300,300,1
4,5,5,40,10,4,300,300,1
4,5,5,36,10,4,300,300,1
4,5,4,30,10,4,300,300,1
4,5,4,24,10,4,300,300,1
4,5,4,18,11,4,300,300,1
4,6,5,14,12,4,300,300,1
5,7,6,11,13,5,300,300,1
5,8,8,7,15,5,300,300,1
5,8,9,5,16,5,300,300,1
5,9,10,3,18,5,300,300,1
4,9,10,0,21,4,300,300,1
4,8,10,0,25,4,300,300,1
4,7,10,0,32,4,300,300,1
4,7,11,0,42,4,300,300,1
4,7,13,0,51,4,300,300,1
4,8,13,0,55,4,300,300,1
4,8,13,0,51,4,300,300,1
4,8,11,0,48,4,300,300,1
4,7,11,0,44,4,300,300,1
4,6,10,0,43,4,300,300,1
4,5,10,1,42,4,300,300,1
4,5,9,3,41,4,300,300,1
4,5,8,5,41,4,300,300,1
4,5,7,6,42,4,300,300,2
4,5,7,6,43,4,300,300,2
4,4,5,6,43,4,300,300,2
4,4,5,7,42,4,300,300,2
4,5,5,7,40,4,300,300,2
4,5,5,8,38,4,300,300,2
4,5,5,8,38,4,300,300,1
4,5,6,9,33,4,300,300,1
4,5,6,9,30,4,300,300,2
4,5,6,9,30,4,300,300,2
5,5,6,11,34,5,300,300,2
5,5,6,11,35,5,300,300,2
5,5,6,11,34,5,300,300,2
6,5,6,11,34,6,300,300,1
6,5,6,12,32,6,300,300,1
6,5,4,12,31,6,300,300,2
7,6,3,14,32,7,300,300,2
7,5,3,14,33,7,300,300,2
7,5,4,14,33,7,300,300,2
7,5,4,14,33,7,300,300,2
7,5,4,14,32,7,300,300,2
7,5,5,13,30,7,300,300,2
7,5,5,13,31,7,300,300,2
7,6,4,14,33,7,300,300,2
7,6,4,15,33,7,300,300,2
7,6,4,16,34,7,300,300,2
7,6,4,16,34,7,300,300,2
7,5,4,16,34,7,300,300,2
7,5,4,17,34,7,300,300,2
7,5,4,17,34,7,300,300,2
7,5,4,17,35,7,300,300,2
7,5,4,17,35,7,300,300,2
7,5,4,18,35,7,300,300,2
7,5,4,18,34,7,300,300,2
7,5,4,16,32,7,300,300,2
8,5,4,16,34,8,300,300,2
8,5,4,16,36,8,300,300,2
8,6,4,17,38,8,300,300,2
8,6,4,17,39,8,300,300,2
8,6,4,17,41,8,300,300,2
8,6,5,17,41,8,300,300,2
8,6,5,17,42,8,300,300,2
8,6,5,17,42,8,300,300,2
8,6,5,18,42,8,300,300,2
8,6,5,17,44,8,300,300,2
8,6,4,17,44,8,300,300,2
8,6,4,14,41,8,300,300,2
8,6,3,14,45,8,300,300,2
8,5,3,15,48,8,300,300,2
0,0,0,11,42,0,300,300,2
8,4,3,16,50,8,300,300,2
8,5,3,16,52,8,300,300,2
8,5,3,15,53,8,300,300,2
8,5,3,15,55,8,300,300,2
8,4,3,15,56,8,300,300,2
8,4,3,15,58,8,300,300,2
0,0,0,3,43,0,300,300,2
6,4,3,13,53,6,300,300,2
6,5,3,14,57,6,300,300,2
5,5,3,14,62,5,300,300,2
5,5,3,14,64,5,300,300,2
5,5,3,14,65,5,300,300,1
5,5,3,13,66,5,300,300,1
5,6,2,13,67,5,300,300,1
5,6,3,13,70,5,300,300,1
5,6,4,13,73,5,300,300,1
5,7,4,13,82,5,300,300,1
5,7,4,11,89,5,300,300,1
5,7,4,11,89,5,300,300,1
5,7,4,11,89,5,300,300,1
5,7,4,11,89,5,300,300,1
5,7,4,11,89,5,300,300,1
0,0,0,0,0,0,300,300,1
4,7,8,1,42,4,300,300,1
5,9,10,0,30,5,300,300,1
5,9,12,0,25,5,300,300,1
5,9,13,0,22,5,300,300,1
5,9,14,0,20,5,300,300,1
5,9,15,0,19,5,300,300,1
5,9,16,0,18,5,300,300,1
5,9,17,0,17,5,300,300,1
5,9,17,0,17,5,300,300,1
5,9,17,0,16,5,300,300,1
0,0,13,0,4,0,300,300,1
2,6,17,0,13,2,300,300,1
4,8,18,0,16,4,300,300,1
4,8,18,1,16,4,300,300,1
0,0,7,0,10,0,300,300,1
4,7,17,3,16,4,300,300,1
4,7,17,4,16,4,300,300,1
4,7,17,5,16,4,300,300,1
4,7,16,6,16,4,300,300,1
4,6,15,8,16,4,300,300,1
4,6,14,10,17,4,300,300,1
4,6,13,11,17,4,300,300,1
4,5,11,12,17,4,300,300,1
